sample,condition
GSM1333746,Cardiomyopathy
GSM1333747,Cardiomyopathy
GSM1333748,Cardiomyopathy
GSM1333749,healthy
GSM1333750,Cardiomyopathy
GSM1333751,healthy
GSM1333752,healthy
GSM1333753,healthy
GSM1333754,healthy
GSM1333755,Cardiomyopathy
GSM1333756,Cardiomyopathy
GSM1333757,healthy
GSM1333758,Cardiomyopathy
GSM1333759,Cardiomyopathy
GSM1333760,Cardiomyopathy
GSM1333761,Cardiomyopathy
GSM1333762,healthy
GSM1333763,Cardiomyopathy
GSM1333764,Cardiomyopathy
GSM1333765,Cardiomyopathy
GSM1333766,Cardiomyopathy
GSM1333767,Cardiomyopathy
GSM1333768,Cardiomyopathy
GSM1333769,Cardiomyopathy
GSM1333770,healthy
GSM1333771,healthy
GSM1333772,Cardiomyopathy
GSM1333773,Cardiomyopathy
GSM1333774,healthy
GSM1333775,Cardiomyopathy
GSM1333776,Cardiomyopathy
GSM1333777,Cardiomyopathy
GSM1333778,Cardiomyopathy
GSM1333779,Cardiomyopathy
GSM1333780,Cardiomyopathy
GSM1333781,Cardiomyopathy
