GSM1333746,GSM1333747,GSM1333748,GSM1333749,GSM1333750,GSM1333751,GSM1333752,GSM1333753,GSM1333754,GSM1333755,GSM1333756,GSM1333757,GSM1333758,GSM1333759,GSM1333760,GSM1333761,GSM1333762,GSM1333763,GSM1333764,GSM1333765,GSM1333766,GSM1333767,GSM1333768,GSM1333769,GSM1333770,GSM1333771,GSM1333772,GSM1333773,GSM1333774,GSM1333775,GSM1333776,GSM1333777,GSM1333778,GSM1333779,GSM1333780,GSM1333781
8.2019,6.1023,12.8675,5.521,1.6132,3.6006,5.2395,5.2791,2.2512,2.7088,2.3534,2.576,13.228,4.6221,3.3161,3.7328,1.4555,1.1543,17.0673,3.954,7.9839,2.3144,0,4.6053,0,13.5764,1.6604,5.7772,4.8457,3.6986,8.2941,3.9692,14.7375,17.6041,12.6466,6.651
0.8939,0.8851,0,0,0,0,0,0.8658,0,0.8924,0,0,0,0,0,0,0,0,1.7918,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2187,10.7455,2.488,0.8893
23.9349,36.7377,51.7345,4.2281,8.1517,15.0918,33.0058,30.1441,3.2931,8.4705,3.5141,4.6558,3.5051,9.3775,16.4025,8.2143,4.6814,9.9087,40.8164,21.1271,12.8796,1.6522,2.4816,9.3669,4.2382,26.7916,6.5405,8.257,12.7367,6.2264,5.659,10.5562,47.9778,25.6298,36.2326,9.8562
7.2857,14.349,9.4284,0,3.1355,6.6028,9.7536,18.2926,4.7923,4.932,4.833,5.0663,14.1411,11.5393,6.7158,8.617,3.1879,6.3999,16.1436,7.0876,6.4877,9.6023,3.7562,4.7805,2.2813,7.0619,4.2481,6.414,5.4106,1.6015,8.2717,0.9593,12.5155,25.6988,3.118,7.3507
6.3051,0.8762,4.4057,2.254,2.496,0,2.1855,4.3778,0,0,0,0,1.144,3.3492,0,1.1348,1.1229,0,0,1.9716,5.4064,2.0995,0,0,4.2765,2.7571,1.1142,0.7716,1.19,4.3954,3.0309,3.7394,4.2478,2.2651,3.8296,3.3702
0,0.8895,1.0386,0.8996,0,3.4726,2.238,1.9675,2.6974,0,2.0357,4.4028,5.4746,5.35,1.0528,0.9057,0,0,4.5385,1.781,1.0558,0.9032,0,1.0527,0,4.4766,0.8897,4.5123,0,1.0547,9.8872,6.2855,2.0181,3.6157,1.7887,0
20.5441,25.2047,23.3585,3.0327,7.5831,7.8365,33.4961,35.5116,3.7039,11.621,6.1719,2.7602,1.8912,8.8637,2.7666,8.4798,0.4099,18.8473,51.0412,28.9494,6.4816,7.6998,18.5555,6.6935,0,47.8349,12.0705,12.551,47.8244,13.1051,18.6309,11.5716,100.5097,129.9462,44.0963,14.1218
26.0346,21.1852,19.5886,1.7851,9.8071,10.8834,12.1185,18.6456,7.4512,5.3559,8.1966,3.7984,4.9937,14.8821,11.5805,10.7762,3.736,12.5123,42.835,39.0707,12.5094,3.106,5.4013,8.9278,12.7797,41.1139,7.0621,14.9535,13.3691,8.0424,12.4859,12.1673,38.1223,19.486,24.7678,11.1655
9.5841,40.9932,9.5437,3.5934,12.4008,18.6526,39.7092,14.9512,3.2283,4.9677,9.585,40.7036,9.2824,6.3392,10.3649,8.7686,1.1716,14.9226,11.4449,12.9762,13.4246,19.6021,9.4079,18.1656,3.6423,44.0662,2.3927,15.1174,11.4919,2.4127,7.4353,9.8514,44.8001,20.16,18.9332,25.3878
3.5969,8.4743,10.568,0.8957,1.7896,4.1321,8.3001,4.3493,4.2744,4.4772,2.7098,3.4963,6.4884,6.3435,0.893,6.4569,0.8919,7.1722,5.434,6.1876,6.4262,4.4982,1.8099,2.6773,2.6883,11.5846,2.1173,8.5783,10.662,2.6951,7.155,2.1368,26.8025,15.0346,12.7432,5.3562
