GSM1841251,GSM1841259,GSM1841261,GSM1841263,GSM1841266,GSM1841268,GSM1841270,GSM1841273
327.9636,404.6905,375.8943,231.6099,506.1675,399.4705,588.6863,309.0207
3.8513,1.9223,13.4191,19.6999,165.4745,85.9972,51.8948,18.5402
1197.8872,1114.6159,975.3408,646.9716,1262.1121,883.3958,1326.0354,683.4384
346.9813,318.6525,323.1177,156.7167,486.7935,360.5849,407.841,235.7671
55.9145,66.4179,82.9624,53.8845,91.0275,64.722,124.2128,57.2091
393.7709,288.1468,1179.2006,795.6846,343.3755,196.3396,657.3035,321.691
3090.578,4282.2488,6509.8067,3041.0193,10999.8553,8034.9985,39094.0571,7355.0248
1456.5546,1402.7515,1937.6573,1148.7538,1598.5279,1442.0661,1682.943,1215.2704
543.977,615.8608,614.5802,195.9437,938.8844,1117.5335,559.2442,753.6983
237.8294,266.2709,388.2843,155.1809,513.1772,477.9958,479.12,371.853
155.388,189.6355,235.8747,139.8839,231.3511,177.3254,200.7349,170.0524
817.1011,1089.0638,933.6473,647.8413,1300.6578,1245.6512,904.9326,1065.9102
992.5981,763.0588,1125.1874,867.2097,1149.5852,1077.9212,1074.6498,971.6268
792.5508,640.0826,415.3292,492.1287,719.6371,531.1599,788.738,286.3501
931.8915,669.224,1213.4441,823.4626,435.9766,366.721,478.7732,872.6855
9.5065,19.9649,12.5717,8.1203,7.4298,17.9187,14.2743,11.9477
399.8012,639.0933,390.641,257.3989,748.8983,637.8897,787.2681,460.8774
634.5191,724.5666,748.2859,574.0948,932.1092,644.1801,1093.3471,509.3412
665.3149,747.8522,600.0939,354.4173,1043.1051,699.561,796.0953,505.2746
262.6534,227.5751,386.3899,127.4289,407.9337,317.2583,371.0222,349.6599
2373.4036,2404.9276,2616.3625,1875.7344,1408.6125,1217.7923,1384.5324,1511.8351
3021.5197,2695.1088,3236.1549,1667.5972,2824.6543,2060.8225,2525.1736,2177.3179
4634.1261,7742.4932,7988.7485,5114.2199,6665.0971,4004.1442,7637.2876,3662.939
