Gene_ID,ENSEMBL,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
327.9636,327,APEH,acylaminoacyl-peptide hydrolase,protein_coding,388.919660807748,0.184212584757862,0.258612142461283,0.712312202376348,0.476271469502455,0.782478728046863
346.9813,346,APOC4,apolipoprotein C4,protein_coding,313.657739159411,0.141499350622962,0.261216875907763,0.541692990283392,0.588030019468573,0.844424365468877
55.9145,55,ACP3,acid phosphatase 3,protein_coding,74.4402430504912,0.213702625811837,0.395062906183311,0.540933158914894,0.588553654655179,0.844607892809071
393.7709,393,ARHGAP4,Rho GTPase activating protein 4,protein_coding,546.26868615629,-0.443909088098238,0.322764337090854,-1.37533499549327,0.169027611799483,0.511835864232568
3090.578,3090,HIC1,HIC ZBTB transcriptional repressor 1,protein_coding,10479.0464746861,1.52209179150296,0.351616467737315,4.32884102754848,1.49896082038259e-05,0.000836185006664406
1456.5546,1456,CSNK1G3,casein kinase 1 gamma 3,protein_coding,1466.6018364767,-0.116976765524,0.190650434387056,-0.613566740092055,0.539501667637803,0.817586422814036
155.388,155,ADRB3,adrenoceptor beta 3,protein_coding,188.37676450041,-0.115527008606568,0.276198153122015,-0.418275818649417,0.675745467417006,0.887696903718167
817.1011,817,CAMK2D,calcium/calmodulin dependent protein kinase II delta,protein_coding,1013.41743452018,0.0673451425840255,0.178967193605258,0.376298813359985,0.706694761393186,0.900917070723054
931.8915,931,MS4A1,membrane spanning 4-domains A1,protein_coding,711.745399881901,-0.609270774781192,0.487252849333138,-1.25042013733742,0.211146112230801,0.5676069813106
9.5065,9,NAT1,N-acetyltransferase 1,protein_coding,12.5181523096873,-0.296892473802285,0.945163740644516,-0.314117502645447,0.753431796652515,
399.8012,399,RHOH,ras homolog family member H,protein_coding,540.560546265291,0.295628304697075,0.306230385608756,0.965378742901019,0.334355144574896,0.686241509591757
634.5191,634,CEACAM1,CEA cell adhesion molecule 1,protein_coding,727.656194367399,0.0790367268853341,0.250938973001855,0.314963937007703,0.752789035403968,0.917992151106866
665.3149,665,BNIP3L,BCL2 interacting protein 3 like,protein_coding,653.727608016007,0.0669777197468606,0.249585088531977,0.268356255338866,0.788425108083536,0.930669842679342
262.6534,262,AMD1,adenosylmethionine decarboxylase 1,protein_coding,301.9865513807,0.340861288625957,0.334638484205457,1.01859560305885,0.308394992586989,0.665645591634726
3021.5197,3021,H3-3B,H3.3 histone B,protein_coding,2408.67361613388,-0.288761062362326,0.188412976091162,-1.5325964716072,0.125375311403012,0.444988922698477
4634.1261,4634,MYL3,myosin light chain 3,protein_coding,5992.90051783955,-0.556226073369631,0.219634936803508,-2.53250271320563,0.0113251493336864,0.114458436427488
126.9009,126,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",protein_coding,117.706579214387,-1.24469319187669,0.350870191423248,-3.54744638416787,0.000388984915975455,0.010518651948331
622.4893,622,BDH1,3-hydroxybutyrate dehydrogenase 1,protein_coding,633.647739704365,-0.153339292557667,0.27711576356771,-0.553340201883536,0.580030477535701,0.840003414909172
2056.0371,2056,EPO,erythropoietin,protein_coding,2289.8199371802,-0.00949245688240068,0.20818438606732,-0.0455963920336039,0.963631944923273,0.990534441871187
490.2531,490,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,protein_coding,512.139080395094,-0.282926540783493,0.28022129562994,-1.00965395990862,0.312661107581663,0.669635884341352
4052.5302,4052,LTBP1,latent transforming growth factor beta binding protein 1,protein_coding,3808.79470426728,0.14050526040213,0.160799541580938,0.873791423910295,0.382231851706115,0.721040745786649
211.378,211,ALAS1,5'-aminolevulinate synthase 1,protein_coding,550.923500201113,1.23335211679439,0.67400388703131,1.82988872991039,0.0672665790307726,0.322267893363819
174.8772,174,AFP,alpha fetoprotein,protein_coding,122.068506828648,-1.06478036283152,0.46231522494029,-2.30314795055483,0.0212705201842235,0.165495930056483
1443.2498,1443,CSH2,chorionic somatomammotropin hormone 2,protein_coding,1777.84838507562,0.184486151637071,0.248539674562514,0.742280490878604,0.457917409467749,0.771605184586365
368.2991,368,ABCC6,ATP binding cassette subfamily C member 6,protein_coding,426.488470508322,0.206082726814034,0.307118320228193,0.671020623780799,0.50220739129941,0.79801413388908
590.1831,590,BCHE,butyrylcholinesterase,protein_coding,957.502520364382,-0.308930189793443,0.336432338956168,-0.918253550630553,0.358486138939095,0.703978517707085
3216.9848,3216,HOXB6,homeobox B6,protein_coding,3728.98678747945,0.36852756130367,0.23355308016282,1.5779177951614,0.114584496271376,0.427217888496314
814.4003,814,CAMK4,calcium/calmodulin dependent protein kinase IV,protein_coding,846.600834708313,1.11785336255854,0.253684929061467,4.40646342963355,1.05072038187302e-05,0.000629326207669209
2475.9897,2475,MTOR,mechanistic target of rapamycin kinase,protein_coding,2282.22053670829,-0.162391160476453,0.155626931486085,-1.04346438579606,0.296733267048578,0.655237665270822
563.5287,563,AZGP1,"alpha-2-glycoprotein 1, zinc-binding",protein_coding,523.90639317193,-0.220468695767777,0.25643744640154,-0.859736746179257,0.389934174043346,0.726264622623953
190.7434,190,NR0B1,nuclear receptor subfamily 0 group B member 1,protein_coding,125.016902866489,-0.780523470382667,0.332402584400242,-2.34812696113953,0.018868088641661,0.155593368653697
1654.8659,1654,DDX3X,DEAD-box helicase 3 X-linked,protein_coding,2536.33135718162,-0.541987591450583,0.209973523533098,-2.58121872858484,0.00984521819447423,0.103532471975639
1572.0779,1572,CYP2F1,cytochrome P450 family 2 subfamily F member 1,protein_coding,1628.38075374175,-0.0712723868952407,0.160463399759132,-0.444166002977788,0.656922569778043,0.879252872308339
427.867,427,ASAH1,N-acylsphingosine amidohydrolase 1,protein_coding,672.378842593029,0.604858281032595,0.260583851023012,2.32116563884528,0.0202779059052988,0.160847515707923
312.6624,312,ANXA13,annexin A13,protein_coding,357.320972432646,1.13974170300605,0.276686857339371,4.11924770827875,3.80111353590714e-05,0.00176249386901037
4485.1851,4485,MST1,macrophage stimulating 1,protein_coding,10616.2978559432,1.71278193210069,0.505613005139359,3.38753535745903,0.000705236265047149,0.0167199764504928
15.6491,15,AANAT,aralkylamine N-acetyltransferase,protein_coding,23.9091576200968,-0.303931643357152,0.700819664355591,-0.433680244455782,0.664520654457543,0.882604135978832
10.3798,10,NAT2,N-acetyltransferase 2,protein_coding,19.0089573107283,1.66682335314067,0.768486675859628,2.16896844864118,0.0300850793761969,0.204033494219977
379.7291,379,ARL4D,ADP ribosylation factor like GTPase 4D,protein_coding,367.456894383232,0.177499849111616,0.247312562119825,0.717714650603213,0.472933248005854,0.781840049499038
1237.2316,1237,CCR8,C-C motif chemokine receptor 8,protein_coding,1021.45127187783,-0.130977084132495,0.187247819497713,-0.699485230235723,0.484248840126711,0.787100333361547
834.4077,834,CASP1,caspase 1,protein_coding,1114.99754464907,0.0605945681252921,0.249899460974199,0.242475785618234,0.808411517385514,0.938107598900954
10.1242,10,NAT2,N-acetyltransferase 2,protein_coding,12.1286925807225,0.684027758191187,0.960419412078346,0.712217755689623,0.476329943575527,
1485.4571,1485,CTAG1B,cancer/testis antigen 1B,protein_coding,1235.84931877146,-0.520850173827297,0.190302876028106,-2.73695376916097,0.00620110069393054,0.0762628161710333
1582.5632,1582,CYP8B1,cytochrome P450 family 8 subfamily B member 1,protein_coding,2086.05397836895,0.10459288501292,0.24156535602055,0.432979657083038,0.665029548738121,0.882604135978832
659.5659,659,BMPR2,bone morphogenetic protein receptor type 2,protein_coding,352.088734587814,-0.714073864739468,0.271900920310503,-2.62622820078731,0.00863369136466139,0.0954402620090319
