ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0000070,mitotic sister chromatid segregation,28,-0.776642286117738,-1.97409528761401,9.08182577436895e-05,0.347896282080953,0.327441575955703,392,"tags=29%, list=10%, signal=26%",701/3303/4733/1063/699/387/2491/7283,0.538434096309916
GO:0045912,negative regulation of carbohydrate metabolic process,12,0.787293790212431,1.95933541108051,0.00067588468790012,0.347896282080953,0.327441575955703,348,"tags=42%, list=9%, signal=38%",1196/863/1213/4485/2033,0.477270815362862
GO:0000819,sister chromatid segregation,33,-0.73384071471852,-1.9460798315626,0.000192691177223516,0.347896282080953,0.327441575955703,392,"tags=24%, list=10%, signal=22%",701/3303/4733/1063/699/387/2491/7283,0.518848077743792
GO:0098813,nuclear chromosome segregation,37,-0.709062087023501,-1.92865631232535,0.000839639445530574,0.396169878382843,0.372876906151218,392,"tags=22%, list=10%, signal=20%",701/3303/4733/1063/699/387/2491/7283,0.477270815362862
GO:0007059,chromosome segregation,47,-0.688533532985997,-1.92632351835482,0.000173233473571969,0.347896282080953,0.327441575955703,392,"tags=19%, list=10%, signal=17%",701/3303/4733/1063/699/387/2491/672/7283,0.518848077743792
GO:0048515,spermatid differentiation,16,-0.80152148380875,-1.88414569827455,0.000665577073100648,0.347896282080953,0.327441575955703,2,"tags=6%, list=0%, signal=6%",7283,0.477270815362862
GO:0001942,hair follicle development,12,-0.86967034457523,-1.87595169351732,0.000599407026005818,0.347896282080953,0.327441575955703,100,"tags=25%, list=2%, signal=24%",538/3890/1001,0.477270815362862
GO:0022404,molting cycle process,12,-0.86967034457523,-1.87595169351732,0.000599407026005818,0.347896282080953,0.327441575955703,100,"tags=25%, list=2%, signal=24%",538/3890/1001,0.477270815362862
GO:0022405,hair cycle process,12,-0.86967034457523,-1.87595169351732,0.000599407026005818,0.347896282080953,0.327441575955703,100,"tags=25%, list=2%, signal=24%",538/3890/1001,0.477270815362862
GO:1903046,meiotic cell cycle process,17,-0.807863120010577,-1.87082039380252,0.000582343138462472,0.347896282080953,0.327441575955703,2,"tags=6%, list=0%, signal=6%",7283,0.477270815362862
GO:0007286,spermatid development,15,-0.818376758348077,-1.83499288407243,0.00113867743091899,0.495937816451026,0.466778946941914,2,"tags=7%, list=0%, signal=7%",7283,0.45505986738723
GO:0033077,T cell differentiation in thymus,21,0.649315978774158,1.82850560048186,0.00235077905041889,0.605005044703263,0.569433522295273,665,"tags=48%, list=16%, signal=40%",4775/648/814/915/1029/2737/101/5687/1235/677,0.431707695803346
GO:0031639,plasminogen activation,10,-0.88151962175545,-1.82577012861931,0.000464259663306631,0.347896282080953,0.327441575955703,50,"tags=20%, list=1%, signal=20%",350/861,0.49849310876659
GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,66,-0.623340342363797,-1.82426583573788,0.000295228459981946,0.347896282080953,0.327441575955703,695,"tags=35%, list=17%, signal=29%",857/1149/655/1028/860/1460/2651/1385/1749/3693/3303/650/2348/1655/5678/2661/2662/2734/331/653/1387/1001/659,0.49849310876659
GO:0051321,meiotic cell cycle,26,-0.698880743956539,-1.81477739252454,0.00593778663282673,0.651815077823144,0.613491340112786,2,"tags=4%, list=0%, signal=4%",7283,0.407017918923954
GO:0140014,mitotic nuclear division,43,-0.658579533879373,-1.80737662469468,0.00199708802961647,0.605005044703263,0.569433522295273,392,"tags=23%, list=10%, signal=21%",701/3303/4733/1063/699/1908/387/1613/2491/7283,0.431707695803346
GO:0031122,cytoplasmic microtubule organization,9,-0.881669214098772,-1.80108562299244,0.00262456598404336,0.61386538408601,0.577772914350961,55,"tags=22%, list=1%, signal=22%",387/7283,0.431707695803346
GO:0098773,skin epidermis development,18,-0.75458721969375,-1.79926071927861,0.00387647271471298,0.645546720903085,0.607591533836387,100,"tags=17%, list=2%, signal=16%",538/3890/1001,0.431707695803346
GO:0001973,G protein-coupled adenosine receptor signaling pathway,8,0.835851341404243,1.79862799769826,0.00219918420020554,0.605005044703263,0.569433522295273,119,"tags=38%, list=3%, signal=36%",134/136/5028,0.431707695803346
GO:0035588,G protein-coupled purinergic receptor signaling pathway,8,0.835851341404243,1.79862799769826,0.00219918420020554,0.605005044703263,0.569433522295273,119,"tags=38%, list=3%, signal=36%",134/136/5028,0.431707695803346
GO:0042303,molting cycle,14,-0.793879807236044,-1.79382466273944,0.00614701914905796,0.651815077823144,0.613491340112786,100,"tags=21%, list=2%, signal=21%",538/3890/1001,0.407017918923954
GO:0042633,hair cycle,14,-0.793879807236044,-1.79382466273944,0.00614701914905796,0.651815077823144,0.613491340112786,100,"tags=21%, list=2%, signal=21%",538/3890/1001,0.407017918923954
GO:1902850,microtubule cytoskeleton organization involved in mitosis,24,-0.720127646051398,-1.79267348244385,0.00359425627506432,0.645546720903085,0.607591533836387,466,"tags=29%, list=12%, signal=26%",4134/3064/3303/4733/3688/387/7283,0.431707695803346
GO:0044060,regulation of endocrine process,18,-0.751556487604438,-1.79203414949763,0.00439766758960496,0.651815077823144,0.613491340112786,175,"tags=28%, list=4%, signal=27%",2661/1393/4986/2150/706,0.407017918923954
