ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
hsa00051,Fructose and mannose metabolism,6,-0.935454778093295,-1.71462083057117,0.00349480636461437,0.841337782455295,0.841337782455295,17,"tags=33%, list=0%, signal=33%",226/3795,0.431707695803346
hsa04721,Synaptic vesicle cycle,22,-0.687599625559584,-1.68844349270958,0.0182028126020616,0.974518274446939,0.974518274446939,236,"tags=23%, list=6%, signal=22%",1175/529/1211/1173/534,0.352487857583619
hsa04814,Motor proteins,35,-0.627262886461844,-1.68557644725881,0.0211231809041771,0.974518274446939,0.974518274446939,2,"tags=3%, list=0%, signal=3%",7283,0.352487857583619
hsa04966,Collecting duct acid secretion,12,-0.769418278330796,-1.67232542455247,0.018881445884874,0.974518274446939,0.974518274446939,576,"tags=50%, list=14%, signal=43%",496/527/1188/529/760/534,0.352487857583619
hsa04350,TGF-beta signaling pathway,35,-0.619316201654547,-1.66422217134983,0.0246106101568168,0.974518274446939,0.974518274446939,340,"tags=23%, list=8%, signal=21%",650/2014/7018/653/1874/1387/387/659,0.352487857583619
hsa05110,Vibrio cholerae infection,19,-0.689417506556466,-1.65018446725292,0.0277640534030467,0.974518274446939,0.974518274446939,91,"tags=16%, list=2%, signal=16%",529/5578/534,0.352487857583619
hsa00030,Pentose phosphate pathway,5,-0.902297403224595,-1.6279075854241,0.0179298124881513,0.974518274446939,0.974518274446939,17,"tags=20%, list=0%, signal=20%",226,0.352487857583619
hsa05165,Human papillomavirus infection,107,-0.519413544917344,-1.61531664341646,0.00479394747837775,0.841337782455295,0.841337782455295,401,"tags=15%, list=10%, signal=14%",1869/1385/3693/3915/2885/572/3446/3909/3381/1298/3688/529/1101/1387/534/7283,0.407017918923954
hsa05145,Toxoplasmosis,38,-0.577036922246885,-1.5804944067385,0.019671188532159,0.974518274446939,0.974518274446939,480,"tags=29%, list=12%, signal=26%",842/3460/3303/3915/572/329/3909/958/3688/331/3112,0.352487857583619
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,24,0.53409357137471,1.56852074820535,0.0276164506964975,0.974518274446939,0.974518274446939,768,"tags=42%, list=19%, signal=34%",4775/915/920/5894/5533/3716/1457/1147/4773/916,0.352487857583619
hsa05221,Acute myeloid leukemia,29,-0.594731328971492,-1.5495379685292,0.0458970792767733,0.986881188118812,0.986881188118812,508,"tags=28%, list=13%, signal=24%",597/1437/1053/3562/2885/572/1050/861,0.248911114434702
hsa04666,Fc gamma R-mediated phagosome formation,24,-0.609671516932286,-1.50624257119211,0.0418994413407821,0.986881188118812,0.986881188118812,96,"tags=17%, list=2%, signal=16%",273/5578/1073/2214,0.261663521711573
hsa04613,Neutrophil extracellular trap formation,49,-0.519378278773383,-1.4903295521264,0.033112582781457,0.986881188118812,0.986881188118812,211,"tags=16%, list=5%, signal=16%",1182/566/293/1991/5578/2214/1184/1183,0.287857117255149
hsa04514,Cell adhesion molecule (CAM) interaction,47,-0.521163342127736,-1.45076588619514,0.0495314591700134,0.986881188118812,0.986881188118812,486,"tags=26%, list=12%, signal=23%",4099/5792/999/927/923/958/2734/3688/925/933/3112/1001,0.234392647294686
hsa04060,Cytokine-cytokine receptor interaction,91,-0.460498724576557,-1.4304200758441,0.0470446320868516,0.986881188118812,0.986881188118812,526,"tags=21%, list=13%, signal=19%",3578/3460/1230/1236/1437/2688/650/3562/3446/958/5617/2661/2662/1232/970/651/653/1237/659,0.227987202850442
hsa05202,Transcriptional misregulation in cancer,84,-0.459734771995205,-1.39175177147664,0.0499390986601705,0.986881188118812,0.986881188118812,524,"tags=23%, list=13%, signal=20%",860/597/2313/1437/1053/3562/604/1051/329/1649/1655/958/7102/1669/1031/2138/1991/1050/861,0.222056046145248
,,,,,,,,,,,
