Gene_ID,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,randomP.adjust,rank,Gene_Symbol,Gene_Description
1183,-1,-4.46524127401365,-5.44744505610011,-3.48303749192719,5.0903205131856e-19,0,1,79.3931144242303,5.09032051318568e-19,FALSE,2.94656838848972e-16,1,CLCN4,chloride voltage-gated channel 4
861,-1,-3.83180447184035,-4.55115618712699,-3.11245275655371,1.62413380859503e-25,0,1,108.998443151914,1.62413380859502e-25,FALSE,1.64524754810676e-22,2,RUNX1,RUNX family transcription factor 1
1624,-1,-3.38419717803784,-3.95139741964639,-2.81699693642929,1.36604562020485e-31,0,1,136.75231458807,1.36604562020484e-31,FALSE,1.84507228435669e-28,3,,
226,-1,-4.31642683441176,-5.37963688623497,-3.25321678258855,1.76155262817311e-15,0,1,63.3150278007217,1.76155262817312e-15,FALSE,4.19871249962203e-13,4,ALDOA,"aldolase, fructose-bisphosphate A"
767,-1,-3.75908504263692,-4.60670687544912,-2.91146320982472,3.55588006307358e-18,0,1,75.5537830454896,3.55588006307357e-18,FALSE,1.20070216796451e-15,5,CA8,carbonic anhydrase 8
267,-1,-3.65005180639563,-4.46595354565966,-2.8341500671316,1.81583773138515e-18,0,1,76.880911090602,1.81583773138516e-18,FALSE,8.17530498619182e-16,6,AMFR,autocrine motility factor receptor
1527,-1,-2.98397003303626,-3.45664857540188,-2.51129149067064,3.65681453339343e-35,0,1,153.09229076149,3.65681453339336e-35,FALSE,7.40870624465508e-32,7,TEX28,testis expressed 28
7283,-1,-2.65737269713737,-2.96780244475677,-2.34694294951797,3.54225834734055e-63,0,1,281.497443854872,3.54225834734052e-63,FALSE,1.43532308234239e-59,8,TUBG1,tubulin gamma 1
534,-1,-3.14711899850026,-3.85395181173999,-2.44028618526053,2.6246736772332e-18,0,1,76.1533664213019,2.62467367723321e-18,FALSE,1.01231515638245e-15,9,ATP6V1G2,ATPase H+ transporting V1 subunit G2
594,1,4.53092675477889,2.96188039953357,6.09997311002421,1.51569378000388e-08,0,1,32.0330813356629,1.51569378000389e-08,FALSE,1.09671271367424e-06,10,BCKDHB,branched chain keto acid dehydrogenase E1 subunit beta
1001,-1,-2.88266559776745,-3.58668778650916,-2.17864340902574,1.01358462599486e-15,0,1,64.4038779462722,1.01358462599485e-15,FALSE,2.93360350323656e-13,11,CDH3,cadherin 3
3795,-1,-2.64427052986542,-3.22571429289778,-2.06282676683307,4.94648088253766e-19,0,1,79.4497470928568,4.94648088253761e-19,FALSE,2.94656838848972e-16,12,KHK,ketohexokinase
1173,-1,-2.39054760639564,-2.92777719383805,-1.85331801895323,2.74814084901454e-18,0,1,76.0625935391382,2.74814084901454e-18,FALSE,1.01231515638245e-15,13,AP2M1,adaptor related protein complex 2 subunit mu 1
280,-1,-2.95322404536215,-3.83727082854621,-2.06917726217809,5.85452442353311e-11,0,1,42.8685187327106,5.85452442353314e-11,FALSE,7.96519980772062e-09,14,AMY2B,amylase alpha 2B
8811,1,3.35187754345437,2.24077268054989,4.46298240635885,3.36674451257081e-09,0,1,34.9592714243677,3.36674451257081e-09,FALSE,3.10046562839475e-07,15,GALR2,galanin receptor 2
659,-1,-2.2316012167918,-2.7277480825516,-1.735454351032,1.18990752888314e-18,0,1,77.7157167500984,1.18990752888315e-18,FALSE,6.02688163379313e-16,16,BMPR2,bone morphogenetic protein receptor type 2
478,-1,-3.51400019712178,-4.72378147166196,-2.3042189225816,1.24808836639786e-08,0,1,32.4105222393294,1.24808836639786e-08,FALSE,9.19500738298934e-07,17,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3
1283,-1,-3.07970103500966,-4.07619952216239,-2.08320254785693,1.38414213180503e-09,0,1,36.6910392124091,1.38414213180503e-09,FALSE,1.43808818412154e-07,18,,
1295,-1,-2.2365329380214,-2.78562214950058,-1.68744372654222,1.42513914483059e-15,0,1,63.7325004289526,1.4251391448306e-15,FALSE,3.60916488428346e-13,19,COL8A1,collagen type VIII alpha 1 chain
