Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
CLCN4,-4.46524127401365,5.0903205131856e-19,chloride voltage-gated channel 4,Down
RUNX1,-3.83180447184035,1.62413380859503e-25,RUNX family transcription factor 1,Down
ALDOA,-4.31642683441176,1.76155262817311e-15,"aldolase, fructose-bisphosphate A",Down
CA8,-3.75908504263692,3.55588006307358e-18,carbonic anhydrase 8,Down
AMFR,-3.65005180639563,1.81583773138515e-18,autocrine motility factor receptor,Down
TEX28,-2.98397003303626,3.65681453339343e-35,testis expressed 28,Down
TUBG1,-2.65737269713737,3.54225834734055e-63,tubulin gamma 1,Down
ATP6V1G2,-3.14711899850026,2.6246736772332e-18,ATPase H+ transporting V1 subunit G2,Down
BCKDHB,4.53092675477889,1.51569378000388e-08,branched chain keto acid dehydrogenase E1 subunit beta,Up
CDH3,-2.88266559776745,1.01358462599486e-15,cadherin 3,Down
KHK,-2.64427052986542,4.94648088253766e-19,ketohexokinase,Down
AP2M1,-2.39054760639564,2.74814084901454e-18,adaptor related protein complex 2 subunit mu 1,Down
AMY2B,-2.95322404536215,5.85452442353311e-11,amylase alpha 2B,Down
GALR2,3.35187754345437,3.36674451257081e-09,galanin receptor 2,Up
BMPR2,-2.2316012167918,1.18990752888314e-18,bone morphogenetic protein receptor type 2,Down
ATP1A3,-3.51400019712178,1.24808836639786e-08,ATPase Na+/K+ transporting subunit alpha 3,Down
COL8A1,-2.2365329380214,1.42513914483059e-15,collagen type VIII alpha 1 chain,Down
HERC3,1.96472473302768,1.74198630646726e-19,HECT and RLD domain containing E3 ubiquitin protein ligase 3,Up
BRCA1,-2.40514125671451,3.4703995202231e-12,BRCA1 DNA repair associated,Down
CD79A,-2.33246781697853,1.63904537782551e-12,CD79a molecule,Down
APLP2,-2.34836369880508,1.01802940264331e-11,amyloid beta precursor like protein 2,Down
CLCN5,-2.26472477818071,1.45821042916366e-11,chloride voltage-gated channel 5,Down
ATP2A1,-2.51356904392992,1.3280387731882e-09,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,Down
IFI35,-2.89410513346177,5.48591967714028e-08,interferon induced protein 35,Down
NF1,-2.5471669313298,4.86331958124031e-09,neurofibromin 1,Down
DLD,-2.35511967473603,4.20307667334145e-09,dihydrolipoamide dehydrogenase,Down
MC2R,-7.07937561293795,0.00010259124503062,melanocortin 2 receptor,Down
CENPI,-2.06280615674209,9.6028304426729e-11,centromere protein I,Down
E2F4,-2.86146543952776,3.29088945649653e-07,E2F transcription factor 4,Down
AMPH,-3.1768085890762,1.65760848775987e-06,amphiphysin,Down
ELF5,-1.6738527797512,1.15507226131745e-15,E74 like ETS transcription factor 5,Down
HPS1,2.38525825797034,2.17182551195274e-08,HPS1 biogenesis of lysosomal organelles complex 3 subunit 1,Up
ATP2B1,-2.28232630574843,8.84309130692487e-09,ATPase plasma membrane Ca2+ transporting 1,Down
FCGR3A,-2.18749194533853,2.99905886258168e-09,Fc gamma receptor IIIa,Down
MMP1,-2.03690412016611,5.77232773344481e-10,matrix metallopeptidase 1,Down
CA7,2.03306508339553,9.87901282040194e-10,carbonic anhydrase 7,Up
CD22,-2.69127194667274,5.53948608183679e-07,CD22 molecule,Down
CAPZA2,1.76261271193094,2.07693939724308e-11,capping actin protein of muscle Z-line subunit alpha 2,Up
RHOA,-2.09395034406453,4.87785691475433e-08,ras homolog family member A,Down
C8G,-4.52671571437519,7.63134417892817e-05,complement C8 gamma chain,Down
