Gene_ID,metap,metap.adjust,metafc,idx,Gene_Symbol,Gene_Description
228,1.05837537997478e-26,4.87911050168373e-24,3.18305924488756,82.68111065085,,
158,7.48845761130552e-22,8.63044739702961e-20,3.209515926247,67.802974121537,ADSL,adenylosuccinate lyase
140,3.88294178513801e-16,1.98892906994291e-14,3.11102828247834,47.9435563607522,ADORA3,adenosine A3 receptor
1,1.66636505250059e-18,1.28032381533795e-16,2.63799452655695,46.8988730391175,A1BG,alpha-1-B glycoprotein
80,4.45254940957329e-15,1.7105210648444e-13,-3.23208670469445,-46.3849408610992,,
469,1.94960577703637e-25,4.49384131606883e-23,-1.74378162094114,-43.0889366172806,,
66,1.14952855165745e-23,1.76644220771362e-21,-1.78606450272337,-40.9713913629089,,
151,1.39350089293917e-15,5.84003556040872e-14,-2.5187420733054,-37.4181621025619,ADRA2B,adrenoceptor alpha 2B
28,2.29085983610722e-11,4.80039265657013e-10,-3.43264731235643,-36.523372490165,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
63,6.57891781252889e-10,9.47775347367443e-09,3.56524111845227,32.7354932589745,,
270,1.23373590669519e-19,1.13750450597297e-17,1.62394620669892,30.7068379740867,AMPD1,adenosine monophosphate deaminase 1
41,4.77187541762659e-09,5.23770135125204e-08,3.50425397292245,29.1599867926533,ASIC1,acid sensing ion channel subunit 1
106,5.06678704317451e-11,1.01556035952324e-09,-2.39641021871984,-24.671683878884,,
15,4.09826317370698e-09,4.89433608959203e-08,-2.81264492641772,-23.5907784957987,AANAT,aralkylamine N-acetyltransferase
61,1.36396383088837e-07,8.27351744788864e-07,3.32107372836647,22.7998258816194,,
35,1.61835391310203e-07,9.56488658897482e-07,-3.02693948477992,-20.555723554255,ACADS,acyl-CoA dehydrogenase short chain
3,8.65755040658836e-09,8.4917675264622e-08,2.40958334590057,19.4275186631589,,
6,1.95947449898455e-08,1.67281063709607e-07,2.40400139539381,18.5297071189956,,
148,2.44211006510849e-17,1.60830391430716e-15,1.11376698057815,18.5021585564717,ADRA1A,adrenoceptor alpha 1A
74,4.59034571308991e-14,1.51153526695318e-12,-1.35526745815036,-18.0767668881712,,
25,6.99556553425661e-09,7.16656824731621e-08,-2.18434971207977,-17.8137589045513,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
64,1.16553184243554e-13,3.58206786241855e-12,-1.36016673572109,-17.591683637966,,
1057,5.62167229096094e-12,1.36399522428052e-10,1.55686070646925,17.5148923061511,,
123,1.16725737880902e-15,5.38105651630958e-14,-1.16293209310569,-17.3658711692974,PLIN2,perilipin 2
55,8.55973779549736e-08,5.6065428285555e-07,2.44500615835152,17.2801776961728,ACP3,acid phosphatase 3
453,3.57332060574588e-08,2.73680282466574e-07,-2.24900954554968,-16.7482121935598,,
56,2.49759967952701e-09,3.38645133018221e-08,-1.91388464133124,-16.464148933079,ACRV1,acrosomal vesicle protein 1
21,1.07268733624148e-08,1.00920175919862e-07,2.03773912315464,16.2398166480848,ABCA3,ATP binding cassette subfamily A member 3
142,1.21131482342929e-08,1.1168322672018e-07,2.02308891613067,16.0162749505781,PARP1,poly(ADP-ribose) polymerase 1
836,4.14054463110823e-09,4.89433608959203e-08,-1.85244036256755,-15.5289010991332,CASP3,caspase 3
202,2.44730464363772e-13,6.63651435715876e-12,-1.22171233220947,-15.4073953538928,CRYBG1,crystallin beta-gamma domain containing 1
114,8.33580445130306e-11,1.60116910502113e-09,1.51286737411766,15.2482696620228,ADCY8,adenylate cyclase 8
14,5.7422939916068e-07,2.84644895712982e-06,-2.41799452086009,-15.0904972509877,AAMP,angio associated migratory cell protein
212,1.03875695783188e-11,2.39433478780249e-10,-1.35507757889242,-14.8834756901162,ALAS2,5'-aminolevulinate synthase 2
