Gene_ID,Gene_Symbol,Gene_Description,log2FoldChange,adjusted.P.Value,Regulation
1183,CLCN4,chloride voltage-gated channel 4,-4.46524127401365,5.0903205131856e-19,DOWN
861,RUNX1,RUNX family transcription factor 1,-3.83180447184035,1.62413380859503e-25,DOWN
226,ALDOA,"aldolase, fructose-bisphosphate A",-4.31642683441176,1.76155262817311e-15,DOWN
767,CA8,carbonic anhydrase 8,-3.75908504263692,3.55588006307358e-18,DOWN
267,AMFR,autocrine motility factor receptor,-3.65005180639563,1.81583773138515e-18,DOWN
1527,TEX28,testis expressed 28,-2.98397003303626,3.65681453339343e-35,DOWN
7283,TUBG1,tubulin gamma 1,-2.65737269713737,3.54225834734055e-63,DOWN
534,ATP6V1G2,ATPase H+ transporting V1 subunit G2,-3.14711899850026,2.6246736772332e-18,DOWN
594,BCKDHB,branched chain keto acid dehydrogenase E1 subunit beta,4.53092675477889,1.51569378000388e-08,UP
1001,CDH3,cadherin 3,-2.88266559776745,1.01358462599486e-15,DOWN
3795,KHK,ketohexokinase,-2.64427052986542,4.94648088253766e-19,DOWN
1173,AP2M1,adaptor related protein complex 2 subunit mu 1,-2.39054760639564,2.74814084901454e-18,DOWN
280,AMY2B,amylase alpha 2B,-2.95322404536215,5.85452442353311e-11,DOWN
8811,GALR2,galanin receptor 2,3.35187754345437,3.36674451257081e-09,UP
659,BMPR2,bone morphogenetic protein receptor type 2,-2.2316012167918,1.18990752888314e-18,DOWN
478,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3,-3.51400019712178,1.24808836639786e-08,DOWN
1295,COL8A1,collagen type VIII alpha 1 chain,-2.2365329380214,1.42513914483059e-15,DOWN
8916,HERC3,HECT and RLD domain containing E3 ubiquitin protein ligase 3,1.96472473302768,1.74198630646726e-19,UP
672,BRCA1,BRCA1 DNA repair associated,-2.40514125671451,3.4703995202231e-12,DOWN
973,CD79A,CD79a molecule,-2.33246781697853,1.63904537782551e-12,DOWN
334,APLP2,amyloid beta precursor like protein 2,-2.34836369880508,1.01802940264331e-11,DOWN
1184,CLCN5,chloride voltage-gated channel 5,-2.26472477818071,1.45821042916366e-11,DOWN
487,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,-2.51356904392992,1.3280387731882e-09,DOWN
3430,IFI35,interferon induced protein 35,-2.89410513346177,5.48591967714028e-08,DOWN
4763,NF1,neurofibromin 1,-2.5471669313298,4.86331958124031e-09,DOWN
1738,DLD,dihydrolipoamide dehydrogenase,-2.35511967473603,4.20307667334145e-09,DOWN
4158,MC2R,melanocortin 2 receptor,-7.07937561293795,0.00010259124503062,DOWN
2491,CENPI,centromere protein I,-2.06280615674209,9.6028304426729e-11,DOWN
1874,E2F4,E2F transcription factor 4,-2.86146543952776,3.29088945649653e-07,DOWN
273,AMPH,amphiphysin,-3.1768085890762,1.65760848775987e-06,DOWN
2001,ELF5,E74 like ETS transcription factor 5,-1.6738527797512,1.15507226131745e-15,DOWN
3257,HPS1,HPS1 biogenesis of lysosomal organelles complex 3 subunit 1,2.38525825797034,2.17182551195274e-08,UP
490,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,-2.28232630574843,8.84309130692487e-09,DOWN
2214,FCGR3A,Fc gamma receptor IIIa,-2.18749194533853,2.99905886258168e-09,DOWN
4312,MMP1,matrix metallopeptidase 1,-2.03690412016611,5.77232773344481e-10,DOWN
766,CA7,carbonic anhydrase 7,2.03306508339553,9.87901282040194e-10,UP
933,CD22,CD22 molecule,-2.69127194667274,5.53948608183679e-07,DOWN
830,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2,1.76261271193094,2.07693939724308e-11,UP
387,RHOA,ras homolog family member A,-2.09395034406453,4.87785691475433e-08,DOWN
733,C8G,complement C8 gamma chain,-4.52671571437519,7.63134417892817e-05,DOWN
706,TSPO,translocator protein,-1.77788057060067,1.05230719888879e-09,DOWN
3890,KRT84,keratin 84,-1.55312754861099,2.024616463481e-11,DOWN
350,APOH,apolipoprotein H,-1.88262527858778,3.55078554153728e-08,DOWN
1448,CSN3,casein kappa,2.19252537896851,6.04728254693488e-07,UP
2030,SLC29A1,solute carrier family 29 member 1 (Augustine blood group),-1.66996170456832,2.1191417008825e-09,DOWN
2938,GSTA1,glutathione S-transferase alpha 1,2.00051865101974,2.42817247443441e-07,UP
1101,CHAD,chondroadherin,-2.08795896924202,6.93294949731641e-07,DOWN
682,BSG,basigin (Ok blood group),2.25425605609664,2.33322445113189e-06,UP
575,ADGRB1,adhesion G protein-coupled receptor B1,-1.58253257184465,3.09239406245929e-09,DOWN
320,APBA1,amyloid beta precursor protein binding family A member 1,-1.49603582967923,1.3001261259764e-09,DOWN
343,AQP8,aquaporin 8,1.62058354195537,2.44332810895369e-08,UP
1073,CFL2,cofilin 2,-1.76662339590985,1.6629014574388e-07,DOWN
1211,CLTA,clathrin light chain A,-1.93196889578377,9.87413822448883e-07,DOWN
1613,DAPK3,death associated protein kinase 3,-1.54456750288542,4.36943855860666e-08,DOWN
1237,CCR8,C-C motif chemokine receptor 8,-1.36063446713418,1.18365588155164e-09,DOWN
1015,CDH17,cadherin 17,-1.38405493696055,4.33447341163972e-09,DOWN
1491,CTH,cystathionine gamma-lyase,-1.69389511672304,4.74327193704594e-07,DOWN
1020,CDK5,cyclin dependent kinase 5,1.42893311164536,1.96445407580649e-08,UP
824,CAPN2,calpain 2,1.97559329028572,4.97503070143235e-06,UP
866,SERPINA6,serpin family A member 6,1.20969804736702,5.89723579051378e-11,UP
538,ATP7A,ATPase copper transporting alpha,-1.76521972183781,2.27888985959478e-06,DOWN
1991,ELANE,"elastase, neutrophil expressed",-1.5795322463242,6.70583246764594e-07,DOWN
653,BMP5,bone morphogenetic protein 5,-1.66289463112681,1.4628171301499e-06,DOWN
1743,DLST,dihydrolipoamide S-succinyltransferase,1.42904705116137,1.09062949261119e-07,UP
1059,CENPB,centromere protein B,1.35816170494181,4.15055151053603e-08,UP
5609,MAP2K7,mitogen-activated protein kinase kinase 7,7.59970876499379,0.000777734460951058,UP
760,CA2,carbonic anhydrase 2,-1.42836516941056,1.63083133784793e-07,DOWN
648,BMI1,"BMI1 proto-oncogene, polycomb ring finger",1.45597375678171,2.42482785478755e-07,UP
