Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
APP,13,0.253692834942835,0.236453201970443,0.642660421228337,1.1126006752665
CREBBP,11,0.214236997570331,0.233009708737864,1,-1.02858746796887
BRCA1,11,0.056461593961594,0.206896551724138,0.930154660580304,-2.40514125671451
CD4,9,0.109654234654235,0.148148148148148,0.0279842119351414,1.22996216895329
H4C6,8,0.042209410959411,0.198757763975155,0.73305881943909,-1.08414501145233
E2F1,7,0.126950904034237,0.209606986899563,0.676766799075505,-1.11611890045087
GSR,6,0.129662004662005,0.141384388807069,6.66793699787004e-05,1.15062645768472
AK1,6,0.0697358197358197,0.115246098439376,2.9353757901728e-06,-1.36126778139442
ITGB1,6,0.231254856254856,0.224824355971897,0.13918023298793,-1.26379425411728
BUB1B,5,0.00297410922410922,0.180451127819549,0.470067134067411,-1.68764828825677
RUNX1,5,0.0108354608354608,0.193939393939394,0.518843936545609,-3.83180447184035
ENTPD3,5,0.0139374514374514,0.104234527687296,8.67981165012813e-07,-1.05512352260655
BUB1,5,0.0114191364191364,0.179775280898876,0.408502319140258,-1.16165305555693
BCKDHB,5,0.150301087801088,0.155591572123177,0.000235369774853348,4.53092675477889
HTT,5,0.0357420357420357,0.21380846325167,0.40609409432815,-1.53531082369562
XIAP,5,0.0715792694959362,0.186770428015564,0.275629697835969,-1.54901889242679
CHEK1,5,0.0130058213391547,0.18568665377176,0.496828200516383,1.07622963192219
BDNF,5,0.0113858363858364,0.212860310421286,0.416419902302062,1.58781926085186
CEBPA,5,0.00691376524709858,0.202105263157895,0.579839087226264,-1.23308945117595
RHOA,5,0.205128205128205,0.207792207792208,0.0289243660027425,-2.09395034406453
