Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
APP,13,0.253692834942835,0.236453201970443,0.642660421228337,1.1126006752665
CREBBP,11,0.214236997570331,0.233009708737864,1,-1.02858746796887
BRCA1,11,0.056461593961594,0.206896551724138,0.930154660580304,-2.40514125671451
CD4,9,0.109654234654235,0.148148148148148,0.0279842119351414,1.22996216895329
H4C6,8,0.042209410959411,0.198757763975155,0.73305881943909,-1.08414501145233
E2F1,7,0.126950904034237,0.209606986899563,0.676766799075505,-1.11611890045087
GSR,6,0.129662004662005,0.141384388807069,6.66793699787004e-05,1.15062645768472
AK1,6,0.0697358197358197,0.115246098439376,2.9353757901728e-06,-1.36126778139442
ITGB1,6,0.231254856254856,0.224824355971897,0.13918023298793,-1.26379425411728
BUB1B,5,0.00297410922410922,0.180451127819549,0.470067134067411,-1.68764828825677
RUNX1,5,0.0108354608354608,0.193939393939394,0.518843936545609,-3.83180447184035
ENTPD3,5,0.0139374514374514,0.104234527687296,8.67981165012813e-07,-1.05512352260655
BUB1,5,0.0114191364191364,0.179775280898876,0.408502319140258,-1.16165305555693
BCKDHB,5,0.150301087801088,0.155591572123177,0.000235369774853348,4.53092675477889
HTT,5,0.0357420357420357,0.21380846325167,0.40609409432815,-1.53531082369562
XIAP,5,0.0715792694959362,0.186770428015564,0.275629697835969,-1.54901889242679
CHEK1,5,0.0130058213391547,0.18568665377176,0.496828200516383,1.07622963192219
BDNF,5,0.0113858363858364,0.212860310421286,0.416419902302062,1.58781926085186
CEBPA,5,0.00691376524709858,0.202105263157895,0.579839087226264,-1.23308945117595
RHOA,5,0.205128205128205,0.207792207792208,0.0289243660027425,-2.09395034406453
CD22,4,0.00942113442113442,0.130434782608696,0.00811564839717225,-2.69127194667274
APOH,4,9.71250971250971e-05,0.192771084337349,0.21064611248216,-1.88262527858778
CD79A,4,0.000388500388500389,0.130081300813008,0.00892579215061045,-2.33246781697853
CFL2,4,0.172202797202797,0.18860510805501,0.00577292556369124,-1.76662339590985
GSTA1,4,0.00922688422688423,0.124837451235371,1.95827897898534e-05,2.00051865101974
CENPI,4,0.00987530987530988,0.173913043478261,0.299695158482671,-2.06280615674209
BMI1,4,0.000853313353313353,0.175502742230347,0.477215759040036,1.45597375678171
CASP1,4,0.111548174048174,0.16580310880829,0.100927215045501,1.33793053343907
GPX3,4,0.00922688422688423,0.124837451235371,1.95827897898399e-05,-1.11614277336354
CLTC,4,0.0137432012432012,0.178107606679035,0.10026862049131,1.59657868408127
CETP,3,0,0.192384769539078,0.187231449315322,-1.53436970267068
CLTA,3,0.00451631701631702,0.177777777777778,0.0975172575493213,-1.93196889578377
CEACAM8,3,0.0182595182595183,0.116222760290557,0.00131526081602388,-1.05208933255647
ATP5MC3,3,0.000485625485625486,0.8,1.11769319225042e-16,1.2353506897225
NQO1,3,0,0.124675324675325,1.9045439601267e-05,-1.47013471561613
BSG,3,0.0183566433566434,0.185328185328185,0.0267776780142269,2.25425605609664
KLF5,3,0.00922688422688423,0.19047619047619,0.293783705373833,1.10022138340262
FCGR3A,3,0.0270979020979021,0.130612244897959,0.00673237063248827,-2.18749194533853
CD3D,3,0.00922688422688423,0.12972972972973,0.00686371026856515,1.06983849648902
APOC2,3,0,0.192384769539078,0.187231449315322,1.16241836570925
DLST,3,0.000825563325563326,0.138328530259366,6.40441025640745e-05,1.42904705116137
GLO1,3,0.0844017094017094,0.127320954907162,1.29454183821791e-05,-1.18641923854282
ENTPD2,3,0.00922688422688423,0.104008667388949,7.07264624740374e-07,-1.46008242785076
APRT,3,0.00441919191919192,0.103896103896104,7.36307928170128e-07,-1.18591180036981
BIRC2,3,0.0514242701742702,0.18426103646833,0.18953207706499,-1.36260798121745
CDH17,2,0.000194250194250194,0.75,3.02949853360109e-17,-1.38405493696055
DLD,2,0,0.135021097046414,5.38756827030498e-05,-2.35511967473603
APEX1,2,0.00922688422688423,0.166666666666667,0.13631814655877,-1.84844211853074
ATP6V1E1,2,0.000291375291375291,0.666666666666667,3.96723636494853e-17,-1.35805161275915
APCS,2,0,0.192,0.15354155410287,-1.12030186646399
CDH3,2,0.000194250194250194,0.75,3.81398368193449e-17,-2.88266559776745
APBA1,2,0,0.192,0.141011743530139,-1.49603582967923
ANK3,2,0.00922688422688423,0.148606811145511,0.00100133654232993,1.10497835663414
CASP10,2,0,0.161616161616162,0.0677565814017494,-1.71492302290184
DEFA4,2,0,0.104347826086957,0.000288592878506397,-1.01429277243258
CCR8,2,0,0.129380053908356,0.00614026068191495,-1.36063446713418
NF1,2,0.0177456802456803,0.209606986899563,0.283007878689539,-2.5471669313298
RPL5,2,9.71250971250971e-05,1,2.50331856536116e-17,-1.03646791708638
ENTPD6,2,0,0.0945812807881773,2.88671222929175e-07,1.12436569987865
E2F4,2,0,0.178107606679035,0.289144883449953,-2.86146543952776
PPP1CB,2,0.0182595182595183,0.173598553345389,0.00538474592056685,1.08424888001786
AP2M1,2,0,0.151658767772512,0.0355890291404499,-2.39054760639564
BCL6,2,0,0.129380053908356,0.006641481302887,-1.87360455115046
CCR3,2,0,0.129380053908356,0.00614026068191493,-1.02669177309222
ELANE,2,0,0.104347826086957,0.000288592878506402,-1.5795322463242
APLP2,2,0,0.192,0.141011743530139,-2.34836369880508
CDK5,2,0,0.192384769539078,0.190567905401505,1.42893311164536
CAPZA2,2,0.152972027972028,0.170818505338078,0.00108111559837438,1.76261271193094
BIK,1,0,1,2.06349855869754e-17,3.35975913221386
CSTF1,1,0,0.171735241502683,0.167369387786712,-1.05360560474593
CACNG1,1,0,1,1.85199099662342e-17,1.06656805609995
BNIP1,1,0,1,7.82882154446928e-18,-1.5200603849156
SPR,1,0,1,2.69351307147039e-17,-1.43677484157493
HOXB5,1,0,1,1.38913971928725e-17,1.21377979368692
OPN1SW,1,0,1,2.16412467433414e-17,-1.45632833996381
CNGB1,1,0,1,1.5883492958918e-17,1.91803393675909
TUBG1,1,0,0.171735241502683,0.167369387786712,-2.65737269713737
CHRM3,1,0,1,2.55519211728307e-17,-1.73068491650647
ARF3,1,0,0.172351885098743,0.00520456826714986,1.14893890644536
CHAD,1,0,0.183908045977012,0.025043695822229,-2.08795896924202
KHK,1,0,1,1.10699211283726e-17,-2.64427052986542
BCHE,1,0,0.191616766467066,0.115638490902827,2.53325848292607
EVC,1,0,1,2.34212441120103e-17,-1.16649068818927
TSPAN3,1,0,0.183908045977012,0.025043695822229,-1.02807818177148
CBFA2T3,1,0,0.16271186440678,0.0933593043143057,2.02660425907287
AMFR,1,0,0.11497005988024,0.00123503653132098,-3.65005180639563
ITGB5,1,0,0.183908045977012,0.025043695822229,-1.08588049856954
APEH,1,0,1,1.80880685989847e-17,-1.49947950447472
NFATC3,1,0,1,1.86953572432439e-17,1.08100280815135
P2RY1,1,0,0.0943025540275049,1.27263187810003e-07,1.15687894070555
ABCF1,1,0,0.666666666666667,8.00638192799324e-18,1.7605032666738
MMP1,1,0,0.156606851549755,0.00481829932754925,-2.03690412016611
FGF3,1,0,0.175824175824176,0.0749294144986779,1.66798560467552
ATP4B,1,0,1,2.29176959715903e-17,-10.6392228873126
ARHGAP6,1,0,0.172351885098743,0.00520456826714987,-1.21431954583022
ESR2,1,0,0.160267111853088,0.0528626055364318,-1.25890266198395
AMPH,1,0,0.151419558359621,0.0180420507868861,-3.1768085890762
ATP2A1,1,0,1,2.10524439631367e-17,-2.51356904392992
NDUFS2,1,0,0.113074204946996,2.32936181593895e-06,1.07970648626388
BMP5,1,0,1,1.26440099632338e-17,-1.66289463112681
CYBB,1,0,0.111111111111111,3.52367157547991e-06,1.01140679541526
SLC25A6,1,0,1,1.79793494223499e-17,-1.28797903840516
ABAT,1,0,1,1.45449163156442e-17,1.38113242560079
C4A,1,0,1,2.49179781615216e-17,-1.83204075780057
HLA-DOB,1,0,0.129205921938089,0.0050353996144643,-1.18631198222801
CDH5,1,0,0.5,3.03666494608155e-17,1.01948097193263
GALR2,1,0,0.115523465703971,0.00146030672241057,3.35187754345437
BCL2A1,1,0,1,2.61037202929759e-17,-1.04773009139923
