Symbol,Module,Degree,Log2FC
CD4,1,9,1.22996216895329
CD22,1,4,-2.69127194667274
CD79A,1,4,-2.33246781697853
CEACAM8,1,3,-1.05208933255647
FCGR3A,1,3,-2.18749194533853
CD3D,1,3,1.06983849648902
DEFA4,1,2,-1.01429277243258
CCR8,1,2,-1.36063446713418
BCL6,1,2,-1.87360455115046
CCR3,1,2,-1.02669177309222
ELANE,1,2,-1.5795322463242
AMFR,1,1,-3.65005180639563
HLA-DOB,1,1,-1.18631198222801
GALR2,1,1,3.35187754345437
CDH17,2,2,-1.38405493696055
CDH3,2,2,-2.88266559776745
CDH5,2,1,1.01948097193263
CDH7,2,1,-1.24130717642221
APP,3,13,1.1126006752665
HTT,3,5,-1.53531082369562
BDNF,3,5,1.58781926085186
APOH,3,4,-1.88262527858778
CLTC,3,4,1.59657868408127
CETP,3,3,-1.53436970267068
CLTA,3,3,-1.93196889578377
APOC2,3,3,1.16241836570925
APCS,3,2,-1.12030186646399
APBA1,3,2,-1.49603582967923
AP2M1,3,2,-2.39054760639564
APLP2,3,2,-2.34836369880508
CDK5,3,2,1.42893311164536
BCHE,3,1,2.53325848292607
FGF3,3,1,1.66798560467552
AMPH,3,1,-3.1768085890762
GSR,4,6,1.15062645768472
BCKDHB,4,5,4.53092675477889
GSTA1,4,4,2.00051865101974
GPX3,4,4,-1.11614277336354
NQO1,4,3,-1.47013471561613
DLST,4,3,1.42904705116137
DLD,4,2,-2.35511967473603
CYBB,4,1,1.01140679541526
CTH,4,1,-1.69389511672304
CYP1A2,4,1,-1.26859427303287
BIK,5,1,3.35975913221386
BCL2A1,5,1,-1.04773009139923
CREBBP,6,11,-1.02858746796887
H4C6,6,8,-1.08414501145233
RUNX1,6,5,-3.83180447184035
CEBPA,6,5,-1.23308945117595
BMI1,6,4,1.45597375678171
KLF5,6,3,1.10022138340262
APEX1,6,2,-1.84844211853074
CBFA2T3,6,1,2.02660425907287
ESR2,6,1,-1.25890266198395
POLB,6,1,3.89026450568812
POLR2K,6,1,1.36323730906832
EGR3,6,1,-2.20527956335743
CAMK4,6,1,1.11785336255854
BRCA1,7,11,-2.40514125671451
E2F1,7,7,-1.11611890045087
BUB1B,7,5,-1.68764828825677
BUB1,7,5,-1.16165305555693
XIAP,7,5,-1.54901889242679
CHEK1,7,5,1.07622963192219
CENPI,7,4,-2.06280615674209
CASP1,7,4,1.33793053343907
BIRC2,7,3,-1.36260798121745
CASP10,7,2,-1.71492302290184
NF1,7,2,-2.5471669313298
E2F4,7,2,-2.86146543952776
CSTF1,7,1,-1.05360560474593
TUBG1,7,1,-2.65737269713737
CKS2,7,1,-1.07439557242833
CENPB,7,1,1.35816170494181
AK1,8,6,-1.36126778139442
ENTPD3,8,5,-1.05512352260655
GLO1,8,3,-1.18641923854282
ENTPD2,8,3,-1.46008242785076
APRT,8,3,-1.18591180036981
ENTPD6,8,2,1.12436569987865
P2RY1,8,1,1.15687894070555
NDUFS2,8,1,1.07970648626388
LMX1B,8,1,1.23256634320273
ASS1,8,1,-1.03303319789346
NUDT2,8,1,1.20105568344229
CACNG1,9,1,1.06656805609995
CACNB2,9,1,1.23244445728198
BNIP1,10,1,-1.5200603849156
VAMP8,10,1,-1.53182012425092
SPR,11,1,-1.43677484157493
CBR1,11,1,-1.08522060216161
HOXB5,12,1,1.21377979368692
HOXB3,12,1,1.40744112870781
OPN1SW,13,1,-1.45632833996381
GNAT2,13,1,-1.25123866107537
CNGB1,14,1,1.91803393675909
ABCA4,14,1,1.04639680559811
ATP5MC3,15,3,1.2353506897225
ATP6V1E1,15,2,-1.35805161275915
ATP6V1G2,15,1,-3.14711899850026
UTY,15,1,-1.47840244840467
ATP5ME,15,1,1.27444728956525
CHRM3,16,1,-1.73068491650647
GNA15,16,1,-1.55334833235703
ITGB1,17,6,-1.26379425411728
RHOA,17,5,-2.09395034406453
CFL2,17,4,-1.76662339590985
BSG,17,3,2.25425605609664
ANK3,17,2,1.10497835663414
PPP1CB,17,2,1.08424888001786
CAPZA2,17,2,1.76261271193094
ARF3,17,1,1.14893890644536
CHAD,17,1,-2.08795896924202
TSPAN3,17,1,-1.02807818177148
ITGB5,17,1,-1.08588049856954
MMP1,17,1,-2.03690412016611
ARHGAP6,17,1,-1.21431954583022
SPTA1,17,1,-1.28545001271254
RND3,17,1,-1.58396137826624
CLCN5,17,1,-2.26472477818071
ATP2B1,17,1,-2.28232630574843
KHK,18,1,-2.64427052986542
ALDOA,18,1,-4.31642683441176
EVC,19,1,-1.16649068818927
DHCR24,19,1,1.32641393515498
APEH,20,1,-1.49947950447472
MST1,20,1,1.71278193210069
NFATC3,21,1,1.08100280815135
NFATC4,21,1,-1.12850442379795
RPL5,22,2,-1.03646791708638
ABCF1,22,1,1.7605032666738
IFI35,22,1,-2.89410513346177
ATP4B,23,1,-10.6392228873126
ATP1A3,23,1,-3.51400019712178
ATP2A1,24,1,-2.51356904392992
ATP2A3,24,1,1.10243990497103
BMP5,25,1,-1.66289463112681
BMPR2,25,1,-2.2316012167918
SLC25A6,26,1,-1.28797903840516
TSPO,26,1,-1.77788057060067
ABAT,27,1,1.38113242560079
GATM,27,1,-1.51569011928561
C4A,28,1,-1.83204075780057
CD59,28,1,1.23805580323999
