Gene_ID,n_datasets
10,2
12,2
14,2
158,2
18,2
2,2
20,2
21,2
26,2
31,2
33,2
37,2
38,2
40,2
41,2
43,2
49,2
9,2
90,2
1,1
1001,1
1003,1
1005,1
10099,1
101,1
1015,1
102,1
1020,1
103,1
1031,1
104,1
105,1
1050,1
1051,1
1059,1
107,1
1073,1
1101,1
1111,1
113,1
1131,1
114,1
115,1
1164,1
117,1
1173,1
1183,1
1184,1
119,1
1196,1
120,1
1211,1
1213,1
123,1
1232,1
1237,1
125,1
1258,1
126,1
127,1
128,1
1294,1
1295,1
1298,1
13,1
131,1
132,1
134,1
135,1
136,1
1360,1
1387,1
1390,1
140,1
141,1
142,1
143,1
1448,1
146,1
1466,1
1477,1
148,1
1491,1
15,1
150,1
151,1
152,1
1527,1
1536,1
1544,1
155,1
157,1
1582,1
16,1
160,1
161,1
1613,1
163,1
166,1
1669,1
167,1
173,1
1738,1
1743,1
1748,1
1807,1
181,1
182,1
1845,1
185,1
1869,1
1874,1
19,1
1907,1
1908,1
191,1
196,1
1960,1
1991,1
2001,1
2014,1
2019,1
202,1
2029,1
2030,1
204,1
210,1
2100,1
212,1
2138,1
216,1
2170,1
218,1
22,1
2214,1
222,1
226,1
229,1
23,1
230,1
238,1
239,1
240,1
2444,1
247,1
2491,1
25,1
250,1
258,1
259,1
262,1
2628,1
265,1
267,1
27,1
270,1
273,1
2734,1
2739,1
276,1
2769,1
278,1
28,1
280,1
2815,1
2824,1
2878,1
288,1
291,1
292,1
293,1
2936,1
2938,1
2980,1
301,1
302,1
3064,1
307,1
3090,1
310,1
3112,1
312,1
313,1
317,1
318,1
32,1
320,1
321,1
3213,1
3215,1
324,1
3257,1
327,1
328,1
329,1
3295,1
330,1
331,1
334,1
336,1
337,1
34,1
343,1
3430,1
344,1
35,1
350,1
353,1
354,1
36,1
364,1
368,1
3688,1
3693,1
3706,1
375,1
3753,1
377,1
3795,1
382,1
387,1
3890,1
39,1
390,1
393,1
395,1
399,1
400,1
4010,1
4158,1
417,1
4312,1
435,1
443,1
445,1
4485,1
462,1
466,1
47,1
472,1
4720,1
473,1
4739,1
474,1
4763,1
4775,1
4776,1
478,1
48,1
487,1
488,1
489,1
490,1
4917,1
492,1
4986,1
50,1
501,1
5028,1
51,1
5108,1
52,1
521,1
523,1
529,1
53,1
533,1
534,1
538,1
54,1
5440,1
549,1
55,1
5500,1
5563,1
56,1
5609,1
570,1
571,1
572,1
573,1
575,1
5768,1
58,1
5833,1
59,1
590,1
5920,1
594,1
60,1
604,1
611,1
6125,1
627,1
629,1
648,1
651,1
653,1
659,1
65990,1
662,1
6697,1
672,1
675,1
682,1
683,1
685,1
688,1
699,1
70,1
701,1
706,1
71,1
720,1
7283,1
7306,1
733,1
738,1
7404,1
7551,1
760,1
766,1
767,1
783,1
786,1
81,1
814,1
816,1
824,1
825,1
830,1
836,1
8361,1
843,1
861,1
863,1
866,1
8673,1
87,1
873,1
88,1
8811,1
89,1
8916,1
9075,1
915,1
92,1
920,1
9203,1
93,1
933,1
94,1
95,1
954,1
955,1
956,1
970,1
973,1
98,1
984,1
