Gene_ID,metap,metap.adjust,metafc,idx,Gene_Symbol,Gene_Description
158,7.48845761130552e-22,8.63044739702961e-20,3.209515926247,67.802974121537,ADSL,adenylosuccinate lyase
41,4.77187541762659e-09,5.23770135125204e-08,3.50425397292245,29.1599867926533,ASIC1,acid sensing ion channel subunit 1
21,1.07268733624148e-08,1.00920175919862e-07,2.03773912315464,16.2398166480848,ABCA3,ATP binding cassette subfamily A member 3
14,5.7422939916068e-07,2.84644895712982e-06,-2.41799452086009,-15.0904972509877,AAMP,angio associated migratory cell protein
2,2.3495431945026e-06,9.58530453686457e-06,2.23251264311714,12.5668506528158,A2M,alpha-2-macroglobulin
10,1.81391372539978e-06,7.67169015971832e-06,1.97630447366009,11.3467216450471,NAT2,N-acetyltransferase 2
26,8.46784286692497e-06,2.9573299709488e-05,-2.23141465894967,-11.3182421488915,AOC1,amine oxidase copper containing 1
38,9.3427274284494e-15,3.31307488039629e-13,0.7697914270777,10.7998090881683,ACAT1,acetyl-CoA acetyltransferase 1
12,1.45751536113991e-10,2.48857252402037e-09,1.02008774326363,10.0339776732738,SERPINA3,serpin family A member 3
9,1.64313401901489e-07,9.58841497171978e-07,1.40596697538766,9.53853973014234,NAT1,N-acetyltransferase 1
18,4.22453075988192e-07,2.16665370713322e-06,1.49424096964527,9.52462294975793,ABAT,4-aminobutyrate aminotransferase
37,9.23880730205938e-06,3.12905504546072e-05,-1.67570998887946,-8.43616770926314,ACADVL,acyl-CoA dehydrogenase very long chain
33,1.66631597863078e-08,1.44938050216753e-07,-0.888370871179375,-6.90996419134183,ACADL,acyl-CoA dehydrogenase long chain
31,1.77661526047496e-07,1.02377454384869e-06,-0.905351410984447,-6.11149015069409,ACACA,acetyl-CoA carboxylase alpha
20,1.49645653134368e-08,1.3266662710566e-07,0.72106285617151,5.64227062501942,ABCA2,ATP binding cassette subfamily A member 2
40,2.40008651991066e-08,2.01170888305239e-07,0.515632161427115,3.92900007430803,ASIC2,acid sensing ion channel subunit 2
49,3.61000923654403e-06,1.39849937650992e-05,-0.51458453915814,-2.80062207658066,ACR,acrosin
43,5.00982625607627e-08,3.66592048262089e-07,0.261221442300825,1.90696285262515,ACHE,acetylcholinesterase (Yt blood group)
90,1.22067899879189e-06,5.46342736352485e-06,0.10079291471409,0.596028673422001,ACVR1,activin A receptor type 1
